,lu_x,lu_y,ru_x,ru_y,ld_x,ld_y,rd_x,rd_y
IMG_4516,342,492,574,534,312,618,546,669
IMG_4462,400,1226,778,1361,382,1436,748,1576
IMG_4474,720,1585,1323,1806,672,1825,1242,2050
IMG_4449,337,1044,643,1134,331,1221,628,1317
IMG_4471,538,1376,997,1565,491,1598,931,1794
IMG_4510,376,737,628,801,359,869,602,935
IMG_4507,308,682,531,739,293,804,516,861
IMG_4513,85,747,322,795,56,876,289,928
IMG_4439,607,1406,1067,1552,581,1630,1039,1790
IMG_4438,457,1222,829,1342,431,1412,789,1536
IMG_4436,691,1704,1163,1860,663,1922,1119,2084
IMG_4423,325,1027,586,1125,319,1192,578,1296
IMG_4437,294,1178,604,1302,276,1354,570,1480
IMG_4433,520,1529,910,1693,500,1713,870,1889
IMG_4427,417,915,713,1009,391,1073,681,1169
IMG_4432,413,1135,747,1237,389,1325,715,1431
IMG_4424,217,970,477,1044,205,1118,457,1200
IMG_4430,394,1061,686,1163,382,1217,664,1323
IMG_4431,335,1022,635,1151,314,1217,620,1346
IMG_4442,440,973,761,1086,416,1147,728,1264
IMG_4495,238,587,415,625,231,691,402,727
IMG_4443,272,987,554,1086,249,1150,528,1249
IMG_4469,601,1497,1079,1673,571,1733,1031,1903
IMG_4441,436,1118,724,1214,416,1290,700,1392
IMG_4508,212,671,399,713,213,779,393,827
IMG_4468,640,1544,1152,1722,582,1757,1063,1950
IMG_4450,455,1080,838,1204,442,1269,803,1394
IMG_4444,515,1307,910,1411,490,1511,879,1622
IMG_4486,140,956,378,1041,142,1129,374,1220
IMG_4492,235,575,389,609,225,664,376,695
IMG_4447,634,1263,976,1385,604,1445,942,1575
IMG_4453,329,879,583,965,313,1052,553,1142
IMG_4490,266,534,436,564,258,624,427,658
IMG_4452,136,781,364,849,132,925,358,996
