,lu_x,lu_y,ru_x,ru_y,ld_x,ld_y,rd_x,rd_y
4474,65.96426935409987,128.75710804224207,121.20934493815851,146.70999187652313,61.56665139715987,148.25345247766043,113.78836463582228,166.53127538586514
4449,28.059950041631975,121.04347826086956,53.53871773522065,131.47826086956522,27.560366361365528,141.56521739130434,52.28975853455454,152.69565217391303
4462,37.968675842429995,120.8477082306555,73.84907451352635,134.15475603745688,36.26008542952064,141.54756037456875,71.00142382534409,155.34746180384425
4516,35.71801566579635,94.16267942583733,59.94778067885118,102.20095693779905,32.58485639686684,118.2775119617225,57.023498694516974,128.03827751196172
4513,9.809578765147144,114.92307692307692,37.16099249855742,122.3076923076923,6.462781304096942,134.76923076923077,33.35256780150029,142.76923076923077
4507,34.980124929017606,107.82608695652173,60.30664395229983,116.83794466403161,33.276547416240774,127.11462450592884,58.603066439523,136.12648221343872
4471,52.926709296606006,115.29116045245077,98.08165272995574,131.12693757855047,48.30300049188392,133.89191453707582,91.58878504672899,150.31420192710516
4510,43.67015098722416,117.26332537788385,72.93844367015099,127.44630071599045,41.69570267131243,138.26571201272873,69.91869918699187,148.76690533015116
4439,47.66391833529643,134.0963280877444,83.78484491558697,148.0209823557463,45.62230074597566,155.4601812112542,81.58617981939537,170.72007629947544
4438,41.18972510139702,127.02702702702703,74.7183415953132,139.50103950103951,38.84632717440288,146.7775467775468,71.11311401532221,159.66735966735968
4436,55.70334542523177,126.36262513904339,93.75251914550584,137.93103448275863,53.446191051995164,142.52873563218392,90.20556227327691,154.54208379681128
4437,26.462646264626464,127.9044516829533,54.36543654365437,141.36807817589576,24.842484248424842,147.01411509229098,51.30513051305131,160.69489685124861
4423,24.46368084305608,128.2147315855181,44.10989838163342,140.4494382022472,24.012043658261195,148.8139825218477,43.50771546857358,161.79775280898878
4430,35.60777225485766,120.36301758366422,61.99728874830547,131.93420306296088,34.52327157704474,138.0601247872944,60.00903750564844,150.0850822461713
4424,21.305841924398624,129.07518296739855,46.833578792341676,138.92215568862275,20.127638684339715,148.76912840984699,44.869906725576826,159.6806387225549
4431,28.97923875432526,108.49256900212315,54.930795847750865,122.1868365180467,27.162629757785467,129.1932059447983,53.63321799307958,142.88747346072188
4427,39.48863636363636,116.70918367346938,67.51893939393939,128.69897959183675,37.02651515151515,136.8622448979592,64.48863636363636,149.10714285714286
4433,46.22222222222222,128.48739495798318,80.88888888888889,142.2689075630252,44.44444444444444,143.94957983193277,77.33333333333333,158.73949579831933
4432,35.588108573890565,125.06887052341598,64.36880654890133,136.3085399449036,33.520034467901766,146.0055096418733,61.611374407582936,157.68595041322314
4441,35.6938190749079,121.38979370249727,59.27138763814982,131.8132464712269,34.05648792468277,140.06514657980455,57.306590257879655,151.1400651465798
4469,55.188246097337,121.26366950182259,99.08172635445362,135.52045362494937,52.43342516069789,140.38072093965167,94.67401285583104,154.15147833130823
4468,76.1451516954194,135.08311461067368,137.0612730517549,150.65616797900262,69.24449732302202,153.7182852143482,126.47233789411065,170.60367454068242
4508,25.343693962940826,129.66183574879227,47.69874476987447,137.77777777777777,25.463239689181112,150.53140096618358,46.981470412432756,159.80676328502415
4495,30.06948831332912,114.20233463035021,52.43209096651927,121.59533073929961,29.185091598231207,134.43579766536965,50.78963992419457,141.4396887159533
4442,40.182648401826484,118.8759926695174,69.49771689497717,132.68173488087965,37.99086757990868,140.13439218081857,66.48401826484019,154.42883323152105
4443,23.672758920800696,122.07792207792207,48.215839860748474,134.32282003710574,21.671018276762403,142.23871366728508,45.95300261096606,154.48361162646876
4490,45.19966015293118,127.75119617224881,74.08666100254885,134.92822966507177,43.840271877655056,149.2822966507177,72.55734919286321,157.41626794258374
4453,26.989335520918786,105.45890821835631,47.82608695652174,115.77684463107377,25.676784249384742,126.21475704859027,45.36505332239541,137.0125974805039
4447,52.50517598343686,121.38395002402692,80.82815734989649,133.10908217203269,50.02070393374741,138.87554060547814,78.01242236024845,151.3695338779433
4452,13.539074166251867,114.51612903225806,36.23693379790941,124.48680351906158,13.140866102538576,135.63049853372434,35.639621702339475,146.04105571847506
4444,46.54315408947131,126.95483244293347,82.24130140081338,137.05682370082565,44.28377767736105,146.77027683341427,79.43967464979666,157.55220981058767
4450,44.08914728682171,120.46848856664808,81.2015503875969,134.30005577244842,42.82945736434108,141.5504740658115,77.81007751937985,155.49358616843278
4492,36.77621283255086,120.92534174553103,60.876369327073554,128.07570977917982,35.21126760563381,139.64248159831757,58.84194053208138,146.16193480546792
4486,12.126461671719358,104.88206253428415,32.741446513642266,114.20735052111903,12.299696838458207,123.86176631925397,32.394976180164576,133.84530992868898
